Описание анкеты; Рекомендовать
Играю в геншин, не против и других игр. Люблю визаж, скупаю кучу ненужной херни, пх. Раньше интересовалась эзотерикой. Химбио. Люблю гулять, правда времени сейчас мало, сдаю егэ; 0
Истеричка; 0
Жизнь люблю; 0
Реально мяу; 1
Рост 170; 0
Рост 174; 0
С авика; 0
Бебебе; 0
Играю в аниме смотрю шашки люблю чаек кофеек и теплые посиделочки потому дома и сижу в генш не играю по музыке пост панк головного мозга ну или параша какая-то дорисуйте сердечко пж; 0
Весело; 0
Просто пообщаться; 0
Каждый раз удаляю дв с надеждой ,что больше сюда не вернусь; 0
Есть желающие погулять вечерком сегодня?; 1
Рост 180см; 0
хай, это я все; 0
Учите литературу детки, она полезна для ваших мозгов; 0
Просто общаться, буду хорошим слушателем, попытка социализироваться пхпх. Не против погулять. Отношений не ищу.; 0
Увлекаюсь всем но по чуть чуть, обожаю смотреть фильмы и вязать; 0
Рост:178. Пообщаться, а там посмотрим; 0
Показали бы город; 0
Музыкант; 1
Люблю читать кафку и камю, а также люблю нану; 0
160 сантиметров чистого солнышка; 0
Любви достойна только мать и бмв м5; 0
Гулять? Общаться? Обмениваться фотографиями? Пишите всё, что душе вашей угодно.; 0
Ищу парня, для классного общения; 1
На самом деле, я довольно-таки симпатичная, просто немного скрываюсь. Пойдем гулять; 0
Скучно; 0
В общем мне скучно и я ищу новых друзей; 0
Если ты не готов адекватно общаться со мной, то пока, можем пойти погулять. Люблю химию, спорт и хоррор фильмы; 0
Мне нужен собственный кабанчик; 0
В первую очередь конечно общение, но блин так хочется мальчика; 0
Я люблю когда эээ. Закрытая пицца; 1
Не играю я в пабг, идите в пень; 1
Люблю веселых людей и громко смеяться. Галереи и слушать музыку! Это краткое резюме обо мне; 0
Пообщаться, найти новые знакомства; 1
Люблю чай с молоком; 0
Люблю плавать, занимаюсь спортом. Ищу общение; 1
Эм я читаю мангу и люблю альбедо; 0
Со мной можно поболтать по душам. Я посматриваю аниме по настроению; 0
Люблю рисовать на одежде, со мной вроде может быть весело; 1
Если коротко и ясно, люблю вкусно покушать и гулять по ночному городу; 0
Прикиньте я ещё и петь умею; 0
Друзья, кто нибудь разбирается в алгебре; 1
Спать люблю; 1
Я гений, у меня жизнь веселая; 0
Как я сюда забрела вообще; 0
Смотрю аниме. Из хобби танцы. Я очень эмоциональна, люблю объятья; 0
Я очень активный и позитивный человек, люблю общение, прогулки. Чаще всего читаю книги и иногда пишу стихи. Надеюсь, мне удастся найти классных собеседников; 0
Люблю наслаждаться музыкой, читать книги, готовить хоть и не очень умею, жить жизнь; 0
Адекват; 1
Волейбол и капибары; 0
Ну люблю готовить, если станем близки, то может даже приготовлю что нибудь для тебя. Ищу просто кого нибудь с кем будет комфортно. Остальное расскажу вам лично; 0
Азиата мне; 0
Я увлекаюсь в основном творчеством. Я меломанка и учусь играть на гитаре. У меня средняя фигура если кому интересно. Очень редко пишу первая; 0
Хочу найти человека, который будет гулять весь день; 0
Сдаю физику и информатику; 1
Это я с фонтаном, а это я в очках; 1
Просто общение; 0
Учу языки и занимаюсь спортом; 0
Домосед. Люблю кушать; 0
Занимаюсь фотографией, люблю слушать музыку; 0
Люблю блестки, вязать и смотреть сериалы. Учусь, есть свой магазинчик вязаных штук в инсте. В приоритете отношения; 0
Не ищу парня или девушку, а просто приятных собеседников и возможно даже будущих друзей; 0
Хочу найти комфорт отношения; 0
Я гений; 0
Ищу пару на вальс; 0
Напишите что-нибудь забавное; 0
Общение, времяпрепровождение, а дальше как сложится; 0
Ищу приятного собеседника; 0
Могу поддержать любой разговор и человека; 0
Если вы добрый и умный человек, знающий физику и химию; 1
Питаюсь дымом; 0
Учите литературу детки, она полезна для ваших мозгов; 0
Мальчика бы высокого; 0
Люблю котиков; 0
Люблю лето и полное звёзд небо; 0
Учусь в меде, люблю пиво; 0
Пошли гулять, сидеть в кафе и болтать; 0
Ищу человека, который готов читать и обсуждать книги; 0
Играю на гитаре, синтезаторе, пою, пишу песни, фотографирую; 1
Погуляю за одноразку; 0
Я искренний и в какой-то степени наивный человек. Немного странная и в то же время вполне простая. Не знаю сложно говорить о самой себе. Каждый все равно по-своему судит как хочет. Ценю сознательные странности, ну или чудаковатость, как хотите; 1
Люблю веселых людей и громко смеяться. Галереи и слушать музыку; 0
Хочу тебя; 1
Хочу провести интересно время; 1
Хочу найти друга для общения. Увлекаюсь игрой на гитаре, татушками и рисую; 0
Скучно; 0
Люблю жизнь; 0
Тяжёлая характер; 0
Кофе, театр, кино; 0
Давай общаться,гулять; 1
Люблю музыку, фильмы, много читаю, танцую и просто творческий человек. Очень тактильная и люблю всякие обнимашки. Первая не люблю писать, так что если есть взаимная симпатия, пиши; 0
Ищу знакомства; 0
Мальчика с машиной; 0
Я алкашка; 0
Только общение; 0
Я хочу найти тут новых друзей. Больше творческая личность начала изучать корейский язык также мне нравится военная тематика не пью, не курю и не парю мало кому доверяю; 0
Свободное время провожу дома. Смотрю сериалы. Хочется найти человека который разнообразит мою жизнь; 1
Я бы в целом была не прочь общения, может, сходить в театр, кино или провести время как-то иначе. Характер периодически невыносимый; 0
Очень люблю всех животных на свете. Могу подушнить по поводу грамотности. Слушаю абсолютно любую музыку. Есть вредные привычки; 0
Хочу найти человека на поговорить. Социально не адаптированая, все ещё ребёнок, который не понимает почему все вокруг так быстро повзрослели. Не пью, не курю, по барам не хожу. Не интересно. Даже по пивку не оценю.; 0
Увлекаюсь медитацией, йогой. Люблю слушать тру крайм и мистические истории. Люблю историю (но не так хорошо её знаю), могу часами читать исторические статьи или смотреть видео.; 0
Живу, работаю, учусь, играю в геншин и просто люблю много разговаривать; 1
Привет! Я ищу тут друзей! Мне интересны сериалы, аниме, частенько зависаю в ютубе и тиктоке. Также играю в игры; 0
Больше интроверт; 1
Поговорим о чем-нибудь интересном; 1
я люблю животных, смотреть вечером фильмы, сидеть дома, но иногда настроение выйти прям еще люблю на сноуборде кататься и на велике люблю свои крутые сумки люблю свою лучшую подругу люблю вяленые томаты люблю темное пиво с орехом люблю сумерки работаю официанткой; 0
Хочется найти увлечённого, ответственного, порядочного и серьёзного молодого человека для классных и светлых отношений; 0
Есть парень. Здесь хотела бы найти друзей, компанию. Играть в настолки, а главное пить чай, но можно и пива; 0
Хочется добрых людей , приятных ,душевных поездок , тёплых разговоров и вкусного капучино; 0
Хочется найти хорошего друга или подругу, может быть компанию друзей, чтобы хорошо и душевно проводить время вместе; 0
Работаю, учусь и все такое. Нравится все математическое. Люблю разную музыку, но кальянный рэп и подобное говно не ко мне. Люблю мемы; 1






